Principio Universal,Descripción breve,Categorías,Fuente Global
Págate primero,"Apartar un porcentaje fijo de los ingresos a ahorro y/o inversión antes de cualquier otro gasto.","Ahorro,Presupuesto (Flujo de Caja),Inversión,Educación Financiera Básica","Dave Ramsey – The Total Money Makeover"
Interés compuesto para ahorros,"Permitir que los intereses generados por tus ahorros se reinviertan automáticamente, generando a su vez intereses adicionales y acelerando la acumulación de capital.","Ahorro,Inversión,Planes de Retiro y Jubilación,Educación Financiera Básica","Warren Buffett – Cartas a Accionistas de Berkshire Hathaway"
Automatizar las finanzas,"Ofrecer la opción de programar transferencias y pagos automáticos para crear disciplina financiera; si prefieres, puedes recibir recordatorios en lugar de transferencias directas.","Ahorro,Presupuesto (Flujo de Caja),Educación Financiera Básica","Ramit Sethi – I Will Teach You To Be Rich"
Gasto consciente,"Evaluar cada compra en función de su valor personal y financiero, equilibrando el ahorro con espacio para gastos de disfrute inmediato.","Ahorro,Presupuesto (Flujo de Caja),Educación Financiera Básica,Psicología Financiera y Hábitos de Gasto","Ramit Sethi – I Will Teach You To Be Rich"
Fondo de emergencia,"Mantener el equivalente a 3–6 meses de gastos esenciales en un fondo líquido para afrontar imprevistos sin sacrificar metas de ahorro o inversión.","Ahorro,Emergencias y Fondo de Contingencia,Presupuesto (Flujo de Caja),Educación Financiera Básica","Suze Orman – The Money Book for the Young, Fabulous & Broke"
Regla 50/30/20,"Asignar 50% del ingreso a necesidades esenciales, 30% a deseos y 20% a ahorros, inversiones o pagos de deuda.","Ahorro,Presupuesto (Flujo de Caja),Inversión,Educación Financiera Básica,Psicología Financiera y Hábitos de Gasto","Elizabeth Warren & Amelia Warren Tyagi – All Your Worth"
Reducir gastos hormiga,"Identificar y limitar pequeños gastos diarios (cafés, snacks, suscripciones) que, sumados, reducen significativamente el ahorro.","Ahorro,Presupuesto (Flujo de Caja),Psicología Financiera y Hábitos de Gasto,Educación Financiera Básica","Carl Richards – The One-Page Financial Plan"
Ahorro porcentual,"Destinar un porcentaje del ingreso a ahorros y/o inversiones para reforzar el hábito sin sentir presión.","Ahorro,Inversión,Educación Financiera Básica","Junior Ureña"
Presupuesto basado en cero,"Asignar cada peso del ingreso a una categoría específica (gastos, ahorros, inversiones) para tener control total de tu flujo de caja.","Presupuesto (Flujo de Caja),Ahorro,Educación Financiera Básica,Inversiones","Dave Ramsey – The Total Money Makeover"
Destinar ingresos extraordinarios,"Asignar al menos un porcentaje significativo de ingresos inesperados (bonificaciones, regalos, devoluciones de impuestos) a ahorro o inversión.","Ahorro,Inversión,Educación Financiera Básica,Psicología Financiera y Hábitos de Gasto","Dave Ramsey – The Total Money Makeover"
Establecer metas SMART de ahorro,"Definir objetivos de ahorro que sean específicos, medibles, alcanzables, relevantes y con plazo determinado.","Ahorro,Educación Financiera Básica,Psicología Financiera y Hábitos de Gasto,Presupuesto (Flujo de Caja)","George T. Doran – There's a S.M.A.R.T. way to write management's goals and objectives"
Revisión periódica de presupuesto,"Evaluar y ajustar el presupuesto regularmente (mensual o trimestral) para reflejar cambios en ingresos, metas o prioridades.","Ahorro,Presupuesto (Flujo de Caja),Educación Financiera Básica,Psicología Financiera y Hábitos de Gasto","Dave Ramsey – Financial Peace University"
Distinción entre gastos fijos y variables,"Identificar claramente gastos fijos (alquiler, servicios) y gastos variables (alimentación, entretenimiento), permitiendo ajustes precisos al presupuesto.","Presupuesto (Flujo de Caja),Ahorro,Educación Financiera Básica","Vicki Robin & Joe Dominguez – Your Money or Your Life"
Registro de gastos en tiempo real,"Anotar cada gasto a medida que ocurre para mantener un control preciso de tu flujo de caja y detectar patrones de consumo.","Presupuesto (Flujo de Caja),Ahorro,Educación Financiera Básica,Psicología Financiera y Hábitos de Gasto","Suze Orman – The Money Book for the Young, Fabulous & Broke"
Ajuste del presupuesto según ingresos variables,"Modificar el presupuesto mensual en función de cambios en el ingreso para mantener el equilibrio financiero.","Presupuesto (Flujo de Caja),Educación Financiera Básica","Ramit Sethi – I Will Teach You To Be Rich"
Pago de deudas de alto interés primero,"Priorizar el pago de deudas con la tasa más alta para reducir el costo total de intereses y liberar flujo de caja más rápido.","Deuda,Presupuesto (Flujo de Caja),Ahorro,Crédito y Score de Crédito","Dave Ramsey – The Total Money Makeover"
Pagar saldo total de tarjeta de crédito,"Pagar el saldo completo de la tarjeta de crédito cada mes para evitar cargos por intereses.","Deuda,Presupuesto (Flujo de Caja),Crédito y Score de Crédito","Investopedia – Credit Card"
Diversificación de portafolio,"Distribuir recursos entre distintas clases de activos (renta fija, variable, efectivo) para equilibrar riesgo y retorno.","Inversión,Ahorro,Planes de Retiro y Jubilación,Finanzas Familiares y Educativas","Ray Dalio – Principles: Life & Work"
Método bola de nieve,"Pagar primero las deudas más pequeñas para generar motivación y liberar flujo de caja.","Deuda,Presupuesto (Flujo de Caja),Educación Financiera Básica","Dave Ramsey – The Total Money Makeover"
Comprender costos de mora,"Revisar los cargos por pagos tardíos y penalidades para evitar que la deuda crezca de forma inesperada.","Deuda,Presupuesto (Flujo de Caja),Educación Financiera Básica","Investopedia – Late Payment Fee"
Evitar deuda para gastos corrientes,"Usar deuda únicamente para inversiones con retorno positivo o emergencias, no para gastos diarios.","Deuda,Ahorro,Educación Financiera Básica","Dave Ramsey – Financial Peace University"
Revisar estados de cuenta,"Verificar mensualmente movimientos de deuda para detectar errores, cargos duplicados o fraudes.","Deuda,Crédito y Score de Crédito,Educación Financiera Básica","CFPB – Cómo revisar tu informe de crédito"
Invertir a largo plazo,"Mantener inversiones durante períodos extensos para minimizar el impacto de la volatilidad y beneficiarse del crecimiento compuesto.","Inversión,Planes de Retiro y Jubilación,Ahorro","Benjamin Graham – The Intelligent Investor"
Comprar y mantener,"Elegir empresas de calidad o fondos indexados y conservar las posiciones durante años para captar el crecimiento del mercado.","Inversión,Planes de Retiro y Jubilación,Ahorro","Warren Buffett – Cartas a Accionistas de Berkshire Hathaway"
Inversión en valor,"Buscar activos infravalorados comparando precio de mercado contra valor intrínseco estimado para obtener margen de seguridad.","Inversión,Educación Financiera Básica,Planes de Retiro y Jubilación","Benjamin Graham – The Intelligent Investor"
Mantener liquidez suficiente,"Reservar un porcentaje en efectivo o instrumentos líquidos para aprovechar oportunidades o cubrir emergencias.","Inversión,Emergencias y Fondo de Contingencia,Ahorro","David Swensen – Pioneering Portfolio Management"
